A001_01;A002;A003;A004;A004_01;A004_02;A004_03;A004_04;A004_05;A004_06;A005;A006;A101_01;A101_02;A101_03;A101_04;A102_01;A102_02;A102_03;A102_04;A102_05;A103_01;A103_02;A103_03;A103_04;A103_05;A104_01;A104_02;A104_03;A201_01;A201_02;A201_03;A201_04;A201_05;A202_01;A202_02;A202_03;A202_04;A202_05;A204_01;A204_02;A204_03;A204_04;A204_05;A205_01;A205_02;A205_03;A205_04;A205_05;A206_CP;A206;A207_CP;A207;A208_CP;A208
25;2;6;1;1;2;1;1;1;1;2;1;3;6;4;4;2;2;3;2;3;2;2;2;3;4;2;2;1;3;4;4;3;2;3;4;3;3;3;4;3;4;4;2;2;2;3;4;2;28;1;13;4;6;1
25;2;6;2;2;2;1;1;1;1;1;1;4;6;5;5;4;2;2;3;6;2;2;2;3;2;1;1;1;5;3;4;3;4;2;1;4;2;2;1;1;1;1;1;4;4;5;3;4;28;2;13;3;6;2
28;2;6;3;2;2;2;1;1;1;2;1;5;5;4;5;6;3;3;3;3;3;3;3;2;2;2;2;2;6;6;6;5;5;5;5;5;5;5;5;4;5;5;5;5;5;5;5;6;29;2;14;4;7;1
25;1;6;2;2;2;1;1;1;1;2;1;5;3;3;4;6;1;2;4;4;3;3;3;2;2;1;2;2;3;3;3;3;2;5;5;5;4;5;1;2;2;4;3;1;4;3;3;4;29;1;14;3;7;2
31;2;6;1;2;1;1;1;1;1;1;1;5;5;5;5;1;4;3;4;4;2;2;2;6;3;1;1;1;4;4;4;5;4;4;4;4;4;4;3;2;2;2;2;3;3;4;3;4;30;1;15;3;8;1
34;1;6;4;2;2;2;2;1;1;3;1;6;6;5;4;6;2;6;4;4;3;3;3;3;3;2;2;3;5;5;5;5;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;30;2;15;4;8;2
25;1;6;3;2;2;2;1;1;1;3;1;4;5;5;3;4;3;6;7;7;5;4;4;7;6;5;1;2;6;7;6;6;5;5;5;5;4;4;3;5;4;5;4;5;5;5;5;5;31;1;16;4;9;1
25;1;6;3;2;2;2;1;1;1;1;1;2;2;2;2;2;1;1;3;2;1;1;1;1;1;1;1;1;1;2;2;1;1;3;4;3;2;3;4;3;3;3;3;4;3;4;3;4;31;2;16;3;9;2
24;1;6;5;2;2;2;2;2;1;1;1;3;6;5;4;6;4;3;5;5;5;2;2;2;1;1;2;1;5;5;5;4;4;3;2;3;1;1;2;3;1;3;2;5;6;5;4;6;32;2;17;3;10;2
28;2;6;3;2;1;2;1;2;1;1;1;3;5;5;6;6;1;2;2;4;2;5;2;5;5;4;3;4;5;5;4;2;4;6;5;6;5;5;5;6;6;6;7;4;4;4;6;5;33;1;17;4;11;2
24;2;6;2;2;2;1;1;1;1;1;1;3;2;4;4;5;2;2;2;2;2;2;3;6;5;2;3;2;5;5;5;5;5;3;4;5;4;3;6;6;6;6;6;1;1;2;1;1;34;1;18;3;12;1
